epoch,accuracy,dice_coef,loss,lr,mean_io_u_1,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u_1,val_precision,val_sensitivity,val_specificity
0,0.9788990616798401,0.26293620467185974,0.14359085261821747,0.001,0.5191925168037415,0.9763175845146179,0.96220463514328,0.9940277338027954,0.9800307750701904,0.2831125259399414,0.0845804363489151,0.41959938406944275,0.9813375473022461,0.9786458611488342,0.9938181042671204
1,0.9817373156547546,0.27564841508865356,0.07865415513515472,0.001,0.6771200895309448,0.9824944734573364,0.9809438586235046,0.9941774606704712,0.9800307750701904,0.2788292169570923,0.07544593513011932,0.7497120499610901,0.9798899292945862,0.97991544008255,0.9933139681816101
2,0.981737494468689,0.2829301953315735,0.07655578851699829,0.001,0.6729931831359863,0.9827839732170105,0.9796033501625061,0.9942754507064819,0.9800305366516113,0.2986779510974884,0.10758939385414124,0.653677225112915,0.9933993220329285,0.9419527649879456,0.9976268410682678
3,0.9818065762519836,0.30595263838768005,0.06652037799358368,0.001,0.6443978548049927,0.985111653804779,0.9785429239273071,0.9950207471847534,0.9807092547416687,0.3404357433319092,0.0637204721570015,0.601672351360321,0.9854491949081421,0.9796075820922852,0.9951201677322388
4,0.9816572666168213,0.3136771321296692,0.06609798967838287,0.001,0.6852925419807434,0.9857447743415833,0.9782811999320984,0.9952119588851929,0.9810038208961487,0.3483925759792328,0.05483525991439819,0.7160549163818359,0.9877886176109314,0.9787127375602722,0.9958938360214233
5,0.9830321073532104,0.3479565978050232,0.05566854029893875,0.001,0.721137523651123,0.988624632358551,0.9793208241462708,0.9961438179016113,0.9829118251800537,0.35554319620132446,0.05074165388941765,0.7718560099601746,0.990469753742218,0.9778997302055359,0.9967319369316101
6,0.9836270809173584,0.34687188267707825,0.05728809908032417,0.001,0.6345751285552979,0.9877755641937256,0.9796926379203796,0.9958797097206116,0.985145092010498,0.3841922879219055,0.04583267867565155,0.6872109174728394,0.9897775650024414,0.9799061417579651,0.9964978098869324
7,0.9847832322120667,0.3751280903816223,0.05062123388051987,0.001,0.6683109998703003,0.9889839887619019,0.9807744026184082,0.9962703585624695,0.9854735732078552,0.41165924072265625,0.04436502605676651,0.7454420328140259,0.9891666769981384,0.9819737076759338,0.9963200688362122
8,0.9865656495094299,0.3996981680393219,0.045752719044685364,0.001,0.7199922800064087,0.9895015358924866,0.9834154844284058,0.9964498281478882,0.9871015548706055,0.45496708154678345,0.04016043618321419,0.7851312756538391,0.9890531301498413,0.9848657846450806,0.9963232278823853
9,0.986221432685852,0.41256988048553467,0.044111207127571106,0.001,0.6944341659545898,0.9892860651016235,0.9828082919120789,0.996386706829071,0.9864013195037842,0.40009260177612305,0.043077245354652405,0.7053723931312561,0.9920400381088257,0.9799732565879822,0.9971839189529419
